
,Trade Date,,20191206

JPX Code,164120005
Instrument,FUT_TOPIX_1912
11714,ＪＰモルガン証券,JPMorgan Japan,472,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),324
12428,ＢＮＰパリバ証券,BNP Paribas (Japan),284,11788,ソシエテ・ジェネラル,Societe Generale,318
11788,ソシエテ・ジェネラル,Societe Generale,230,12560,松井証券,MATSUI SECURITIES,131
11256,ＳＢＩ証券,SBI SECURITIES,115,11256,ＳＢＩ証券,SBI SECURITIES,101
12464,廣田証券,HIROTA SECURITIES,71,11696,みずほ証券,Mizuho Securities,50
12057,楽天証券,Rakuten Securities,39,12057,楽天証券,Rakuten Securities,43
11784,ライブスター証券,livestar Securities,25,12410,バークレイズ証券,Barclays Japan,40
11635,クレディ・スイス証券,Credit Suisse Japan,15,12464,廣田証券,HIROTA SECURITIES,31
11060,ａｕカブコム証券,au Kabucom Securitie,14,11784,ライブスター証券,livestar Securities,25
12560,松井証券,MATSUI SECURITIES,14,11060,ａｕカブコム証券,au Kabucom Securitie,20
12888,山和証券,YAMAWA SECURITIES,12,12176,ドイツ証券,Deutsche Securities,20
12176,ドイツ証券,Deutsche Securities,4,11727,ＧＭＯクリック証券,GMO CLICK Securities,13
11727,ＧＭＯクリック証券,GMO CLICK Securities,3,12888,山和証券,YAMAWA SECURITIES,6
11696,みずほ証券,Mizuho Securities,3,11016,藍澤證券,AIZAWA SECURITIES,6
12368,証券ジャパン,Securities Japan,2,12330,マネックス証券,Monex,5
12336,日産証券,Nissan Securities,2,12072,東海東京証券,Tokai Tokyo Sec,5
11016,藍澤證券,AIZAWA SECURITIES,2,12336,日産証券,Nissan Securities,4
12024,むさし証券,Musashi Securities,1,12024,むさし証券,Musashi Securities,1
12330,マネックス証券,Monex,1,11056,安藤証券,ANDO SECURITIES,1
-,-,-,-,12795,インタラクティブ証券,Interactive Brokers,1
-,-,-,-,11544,岩井コスモ証券,IwaiCosmo Securities,1
-,-,-,-,12896,豊証券,Yutaka Securities,1

JPX Code,134122818
Instrument,PUT_NK225_191213_22875
12479,ＡＢＮアムロクリア,ABN AMRO Clearing,415,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,491
11714,ＪＰモルガン証券,JPMorgan Japan,277,11788,ソシエテ・ジェネラル,Societe Generale,295
12428,ＢＮＰパリバ証券,BNP Paribas (Japan),216,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),218
11788,ソシエテ・ジェネラル,Societe Generale,183,11727,ＧＭＯクリック証券,GMO CLICK Securities,193
